短gw-UA(必填),长gw-UA(必填),操作系统(必填) symbian;wm;oms;android,分辨率(必填) 240_320;360_640;480_800;480_854,型号,官网名称,质量,机身内存,扩展内存,摄像头,网络,蓝牙,系统播放器,HTML版本,WAP版本
SAMSUNG_GT-I7680_TD,SAMSUNG_GT-I7680_TD/1.0 OPhone/1.6 Release/2.1.2010 Browser/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 AppleWebKit/528.5+,OPHONE2.0,320x480,SAMSUNG_GT-I7680_TD,SAMSUNG,126克,100MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
SAMSUNG_GT-I7680,SAMSUNG_GT-I7680,OPHONE2.0,320x480,SAMSUNG_GT-I7680,SAMSUNG,126克,100MB,32GB,500万,GSM,支持,,,WAP2.0
MOT-MT810_TD,MOT-MT810_TD/1.0 OMS/1.6 (Linux; Android) Release/5.30.2010 Browser/WAP 2.0 (AppleWebKit 528+) Profile/MIDP-2.0 Configuration/CLDC-1.1,OPHONE2.0,480x854,MOT-MT810_TD,MOT,160克,2GB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
Dell_Mini3v_TD,Dell_Mini3v_TD/1.0 OPhone/2.0 (Linux; Android 2.0) Release/11.3.2010Browser/WAP 2.0 (AppleWebKit/530.17) Profile/MIDP-2.1 Configuration/CLDC-1.1,OPHONE1.6,480x800,DELL_MINI3V_TD,DELL,140克,512MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
Dell_Mini3v_CMCC,Dell_Mini3v_CMCC/1.0 OPhone/2.0 (Linux; Android 2.0) Release/11.3.2010Browser/WAP 2.0 (AppleWebKit/530.17) Profile/MIDP-2.1 Configuration/CLDC-1.1,OPHONE1.6,480x800,DELL_MINI3V_CMCC,DELL,140克,512MB,32GB,500万,GSM,支持,,,WAP2.0
Lenovo_O3_TD,Lenovo_O3_TD/2.0 OPhone/2.0 (Linux; Android 2.0) Release/9.1.2009 Browser/WAP 2.0 (AppleWebKit/528.5+) Profile/MIDP-2.0 Configuration/CLDC-1.1,OPHONE2.0,480x800,LENOVO_O3_TD,LENOVO,141克,512MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
ZTE-TU900_TD,ZTE-TU900_TD/1.0 OMS/2.0 (Linux; Android 2.1) Release/12.23.2009 Browser/WAP 2.0 AppleWebKit/530.17 Profile/MIDP-2.0 Configuration/CLDC-1.1,OPHONE2.0,800x480,ZTE-TU900_TD,ZTE,144克,512MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
SonyEricssonA8i_TD,SonyEricssonA8i_TD/1.0 Ophone/2.0 (Linux; Android 2.1) Release/3.2.2010 Browser/WAP 2.0 AppleWebKit/530.17 Profile/MIDP-2.1 Configuration/CLDC-1.1,OPHONE2.0,480x854,SONYERICSSONA8I_TD,SONYERICSSONA,136克,200MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
SAMSUNG_GT-I9008_TD,SAMSUNG_GT-I9008_TD/1.0 OPhone/2.0 (Linux; Android 2.1) Release/5.1.2010 Browser/WAP2.0 (AppleWebKit/530.17) Profile/MIDP-2.1 Configuration/CLDC-1.1,OPHONE2.0,480x800,SAMSUNG_GT-I9008_TD,SAMSUNG,124克,460MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
MOT-MT716_TD,MOT-MT716_TD/1.0 OMS/2.0 (Linux; Android) Release/8.31.2010 Browser/WAP 2.0 (AppleWebKit 528+) Profile/MIDP-2.0 Configuration/CLDC-1.1,OPHONE2.0,480x854,MOT-MT716_TD,MOT,160克,512MB,32GB,800万,TD-SCDMA,支持,,,WAP2.0
LG_GT910s_TD,LG_GT910s_TD/1.0 OPhone/2.0 (Linux; Android 2.1) Release/5.1.2010 Browser/WAP 2.0 (AppleWebKit/530.17) Profile/MIDP-2.1 Configuration/CLDC-1.1,OPHONE2.0,800x480,LG_GT910S_TD,LG,145克,512MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
MOT-MT810lx_TD,MOT-MT810lx_TD/1.0 OMS/2.0 (Linux; Android) Release/8.31.2010 Browser/WAP 2.0 (AppleWebKit 530) Profile/MIDP-2.0 Configuration/CLDC-1.1,OPHONE2.0,480x854,MOT-MT810LX_TD,MOT,173克,512MB,32GB,500万,TD-SCDMA,支持,,,WAP2.0
